timestamp_folder,pig_id,pig_present,median_depth,mean_depth,depth_std,depth_iqr,valid_pct,threshold
20260125-10-03-32,13,0,1587.0,1540.6,430.0,471.0,46.4,1463
20260125-10-03-32,14,1,1230.0,1232.2,452.2,684.0,57.3,1463
20260125-10-03-32,15,1,997.0,1198.7,468.0,764.0,54.6,1463
20260125-10-03-32,16,1,966.0,1144.1,422.4,596.0,54.3,1463
20260125-10-03-32,17,0,1499.0,1404.7,550.6,506.0,45.9,1463
20260125-10-03-32,18,1,1086.0,1138.9,534.0,643.0,57.9,1463
20260125-14-30-01,0,1,816.0,1051.8,447.1,650.0,58.8,1463
20260125-14-30-01,1,0,1541.0,1437.2,543.4,492.0,43.5,1463
20260125-14-30-01,2,1,1055.0,1182.9,390.1,553.0,55.1,1463
20260125-14-30-01,3,1,847.0,1060.5,465.4,686.0,59.7,1463
20260125-14-30-01,4,1,662.0,935.1,537.1,871.0,61.1,1463
20260125-14-30-01,5,1,684.0,1017.6,514.5,854.0,60.9,1463
20260125-14-30-01,6,1,1288.0,1270.0,389.4,545.0,56.4,1463
20260125-14-30-01,7,1,951.0,1146.2,427.7,596.0,56.9,1463
20260125-14-30-01,8,1,922.0,1130.4,396.7,648.0,58.6,1463
20260125-14-30-01,9,1,1295.0,1290.5,454.7,694.0,50.6,1463
20260125-14-30-01,10,1,592.0,838.1,464.8,744.0,63.5,1463
20260125-14-30-01,11,1,760.0,1038.2,466.9,746.0,58.1,1463
20260125-14-30-01,12,1,990.0,1157.2,414.7,586.0,57.1,1463
20260125-14-30-01,13,0,1573.0,1532.3,451.2,514.0,45.6,1463
20260125-14-30-01,14,1,994.0,1162.9,438.2,633.0,56.9,1463
20260125-14-30-01,15,1,1284.0,1255.3,437.1,683.0,53.5,1463
20260125-14-30-01,16,1,990.0,1144.6,416.6,611.0,54.6,1463
20260125-14-30-01,17,0,1533.0,1412.5,568.7,523.0,43.7,1463
20260125-14-30-01,18,1,967.0,1056.1,518.8,608.0,56.3,1463
20260130-02-03-36,0,1,1333.0,1257.1,549.3,902.0,45.3,1463
20260130-02-03-36,1,0,1526.0,1477.1,486.9,491.0,46.1,1463
20260130-02-03-36,2,1,1347.0,1382.5,421.3,553.0,48.8,1463
20260130-02-03-36,3,1,1331.0,1318.7,465.5,637.0,49.0,1463
20260130-02-03-36,4,1,1311.0,1268.2,508.3,831.0,45.7,1463
20260130-02-03-36,5,1,1313.0,1319.8,474.1,672.0,44.7,1463
20260130-02-03-36,6,1,1302.0,1319.3,488.9,711.0,46.2,1463
20260130-02-03-36,7,1,1291.0,1292.8,485.3,743.0,47.8,1463
20260130-02-03-36,8,1,1312.0,1269.4,509.3,759.0,47.9,1463
20260130-02-03-36,9,1,1298.0,1317.6,467.5,717.0,45.7,1463
20260130-02-03-36,10,1,1368.0,1330.2,497.2,752.0,47.5,1463
20260130-02-03-36,11,1,1389.0,1388.9,419.4,566.0,46.8,1463
20260130-02-03-36,12,1,1300.0,1276.7,507.8,828.0,45.8,1463
20260130-02-03-36,13,0,1544.0,1435.5,552.9,520.0,44.2,1463
20260130-02-03-36,14,1,1334.0,1326.8,498.8,775.0,44.7,1463
20260130-02-03-36,15,1,1320.0,1253.6,545.7,849.0,46.4,1463
20260130-02-03-36,16,1,1324.0,1329.7,502.5,764.0,42.7,1463
20260130-02-03-36,17,0,1536.0,1477.2,490.4,539.0,43.2,1463
20260130-02-03-36,18,1,1179.0,1148.3,597.4,1015.0,46.3,1463
20260130-05-04-48,0,1,1340.0,1230.6,579.0,1067.0,46.6,1463
20260130-05-04-48,1,0,1529.0,1479.8,491.1,506.0,46.2,1463
20260130-05-04-48,2,1,1328.0,1339.9,423.8,566.0,47.4,1463
20260130-05-04-48,3,1,1334.0,1319.6,462.4,622.0,49.8,1463
20260130-05-04-48,4,1,1335.0,1293.0,477.8,694.0,47.8,1463
